[2022-12-22T22:39:43.625] [WARN] all - Peticon a ruta no encontrada -> url: /api/info%20%3E%20result_console_log.txt | method: GET
[2022-12-22T22:39:43.626] [WARN] all - Peticon a ruta no encontrada -> url: /api/info%20%3E%20result_console_log.txt | method: GET
[2022-12-22T22:39:43.629] [WARN] all - Peticon a ruta no encontrada -> url: /api/info%20%3E%20result_console_log.txt | method: GET
[2022-12-22T22:39:43.630] [WARN] all - Peticon a ruta no encontrada -> url: /api/info%20%3E%20result_console_log.txt | method: GET
[2022-12-22T22:39:43.632] [WARN] all - Peticon a ruta no encontrada -> url: /api/info%20%3E%20result_console_log.txt | method: GET
[2022-12-22T22:39:43.634] [WARN] all - Peticon a ruta no encontrada -> url: /api/info%20%3E%20result_console_log.txt | method: GET
[2022-12-22T22:39:43.650] [WARN] all - Peticon a ruta no encontrada -> url: /api/info%20%3E%20result_console_log.txt | method: GET
[2022-12-22T22:39:43.653] [WARN] all - Peticon a ruta no encontrada -> url: /api/info%20%3E%20result_console_log.txt | method: GET
[2022-12-22T22:39:43.654] [WARN] all - Peticon a ruta no encontrada -> url: /api/info%20%3E%20result_console_log.txt | method: GET
[2022-12-22T22:39:43.657] [WARN] all - Peticon a ruta no encontrada -> url: /api/info%20%3E%20result_console_log.txt | method: GET
[2022-12-22T22:39:43.658] [WARN] all - Peticon a ruta no encontrada -> url: /api/info%20%3E%20result_console_log.txt | method: GET
[2022-12-22T22:39:43.659] [WARN] all - Peticon a ruta no encontrada -> url: /api/info%20%3E%20result_console_log.txt | method: GET
[2022-12-22T22:39:43.661] [WARN] all - Peticon a ruta no encontrada -> url: /api/info%20%3E%20result_console_log.txt | method: GET
[2022-12-22T22:39:43.674] [WARN] all - Peticon a ruta no encontrada -> url: /api/info%20%3E%20result_console_log.txt | method: GET
[2022-12-22T22:39:43.675] [WARN] all - Peticon a ruta no encontrada -> url: /api/info%20%3E%20result_console_log.txt | method: GET
[2022-12-22T22:39:43.676] [WARN] all - Peticon a ruta no encontrada -> url: /api/info%20%3E%20result_console_log.txt | method: GET
[2022-12-22T22:39:43.681] [WARN] all - Peticon a ruta no encontrada -> url: /api/info%20%3E%20result_console_log.txt | method: GET
[2022-12-22T22:39:43.681] [WARN] all - Peticon a ruta no encontrada -> url: /api/info%20%3E%20result_console_log.txt | method: GET
[2022-12-22T22:39:43.682] [WARN] all - Peticon a ruta no encontrada -> url: /api/info%20%3E%20result_console_log.txt | method: GET
[2022-12-22T22:39:43.683] [WARN] all - Peticon a ruta no encontrada -> url: /api/info%20%3E%20result_console_log.txt | method: GET
[2022-12-22T22:39:43.685] [WARN] all - Peticon a ruta no encontrada -> url: /api/info%20%3E%20result_console_log.txt | method: GET
[2022-12-22T22:39:43.692] [WARN] all - Peticon a ruta no encontrada -> url: /api/info%20%3E%20result_console_log.txt | method: GET
[2022-12-22T22:39:43.693] [WARN] all - Peticon a ruta no encontrada -> url: /api/info%20%3E%20result_console_log.txt | method: GET
[2022-12-22T22:39:43.694] [WARN] all - Peticon a ruta no encontrada -> url: /api/info%20%3E%20result_console_log.txt | method: GET
[2022-12-22T22:39:43.694] [WARN] all - Peticon a ruta no encontrada -> url: /api/info%20%3E%20result_console_log.txt | method: GET
[2022-12-22T22:39:43.695] [WARN] all - Peticon a ruta no encontrada -> url: /api/info%20%3E%20result_console_log.txt | method: GET
[2022-12-22T22:39:43.695] [WARN] all - Peticon a ruta no encontrada -> url: /api/info%20%3E%20result_console_log.txt | method: GET
[2022-12-22T22:39:43.696] [WARN] all - Peticon a ruta no encontrada -> url: /api/info%20%3E%20result_console_log.txt | method: GET
[2022-12-22T22:39:43.698] [WARN] all - Peticon a ruta no encontrada -> url: /api/info%20%3E%20result_console_log.txt | method: GET
[2022-12-22T22:39:43.708] [WARN] all - Peticon a ruta no encontrada -> url: /api/info%20%3E%20result_console_log.txt | method: GET
[2022-12-22T22:39:43.711] [WARN] all - Peticon a ruta no encontrada -> url: /api/info%20%3E%20result_console_log.txt | method: GET
[2022-12-22T22:39:43.711] [WARN] all - Peticon a ruta no encontrada -> url: /api/info%20%3E%20result_console_log.txt | method: GET
[2022-12-22T22:39:43.712] [WARN] all - Peticon a ruta no encontrada -> url: /api/info%20%3E%20result_console_log.txt | method: GET
[2022-12-22T22:39:43.713] [WARN] all - Peticon a ruta no encontrada -> url: /api/info%20%3E%20result_console_log.txt | method: GET
[2022-12-22T22:39:43.715] [WARN] all - Peticon a ruta no encontrada -> url: /api/info%20%3E%20result_console_log.txt | method: GET
[2022-12-22T22:39:43.717] [WARN] all - Peticon a ruta no encontrada -> url: /api/info%20%3E%20result_console_log.txt | method: GET
[2022-12-22T22:39:43.720] [WARN] all - Peticon a ruta no encontrada -> url: /api/info%20%3E%20result_console_log.txt | method: GET
[2022-12-22T22:39:43.728] [WARN] all - Peticon a ruta no encontrada -> url: /api/info%20%3E%20result_console_log.txt | method: GET
[2022-12-22T22:39:43.729] [WARN] all - Peticon a ruta no encontrada -> url: /api/info%20%3E%20result_console_log.txt | method: GET
[2022-12-22T22:39:43.730] [WARN] all - Peticon a ruta no encontrada -> url: /api/info%20%3E%20result_console_log.txt | method: GET
[2022-12-22T22:39:43.731] [WARN] all - Peticon a ruta no encontrada -> url: /api/info%20%3E%20result_console_log.txt | method: GET
[2022-12-22T22:39:43.732] [WARN] all - Peticon a ruta no encontrada -> url: /api/info%20%3E%20result_console_log.txt | method: GET
[2022-12-22T22:39:43.733] [WARN] all - Peticon a ruta no encontrada -> url: /api/info%20%3E%20result_console_log.txt | method: GET
[2022-12-22T22:39:43.734] [WARN] all - Peticon a ruta no encontrada -> url: /api/info%20%3E%20result_console_log.txt | method: GET
[2022-12-22T22:39:43.734] [WARN] all - Peticon a ruta no encontrada -> url: /api/info%20%3E%20result_console_log.txt | method: GET
[2022-12-22T22:39:43.737] [WARN] all - Peticon a ruta no encontrada -> url: /api/info%20%3E%20result_console_log.txt | method: GET
[2022-12-22T22:39:43.743] [WARN] all - Peticon a ruta no encontrada -> url: /api/info%20%3E%20result_console_log.txt | method: GET
[2022-12-22T22:39:43.744] [WARN] all - Peticon a ruta no encontrada -> url: /api/info%20%3E%20result_console_log.txt | method: GET
[2022-12-22T22:39:43.745] [WARN] all - Peticon a ruta no encontrada -> url: /api/info%20%3E%20result_console_log.txt | method: GET
[2022-12-22T22:39:43.746] [WARN] all - Peticon a ruta no encontrada -> url: /api/info%20%3E%20result_console_log.txt | method: GET
[2022-12-22T22:39:43.747] [WARN] all - Peticon a ruta no encontrada -> url: /api/info%20%3E%20result_console_log.txt | method: GET
[2022-12-22T22:39:43.748] [WARN] all - Peticon a ruta no encontrada -> url: /api/info%20%3E%20result_console_log.txt | method: GET
[2022-12-22T22:39:43.748] [WARN] all - Peticon a ruta no encontrada -> url: /api/info%20%3E%20result_console_log.txt | method: GET
[2022-12-22T22:39:43.749] [WARN] all - Peticon a ruta no encontrada -> url: /api/info%20%3E%20result_console_log.txt | method: GET
[2022-12-22T22:39:43.752] [WARN] all - Peticon a ruta no encontrada -> url: /api/info%20%3E%20result_console_log.txt | method: GET
[2022-12-22T22:39:43.759] [WARN] all - Peticon a ruta no encontrada -> url: /api/info%20%3E%20result_console_log.txt | method: GET
[2022-12-22T22:39:43.760] [WARN] all - Peticon a ruta no encontrada -> url: /api/info%20%3E%20result_console_log.txt | method: GET
[2022-12-22T22:39:43.761] [WARN] all - Peticon a ruta no encontrada -> url: /api/info%20%3E%20result_console_log.txt | method: GET
[2022-12-22T22:39:43.762] [WARN] all - Peticon a ruta no encontrada -> url: /api/info%20%3E%20result_console_log.txt | method: GET
[2022-12-22T22:39:43.764] [WARN] all - Peticon a ruta no encontrada -> url: /api/info%20%3E%20result_console_log.txt | method: GET
[2022-12-22T22:39:43.764] [WARN] all - Peticon a ruta no encontrada -> url: /api/info%20%3E%20result_console_log.txt | method: GET
[2022-12-22T22:39:43.765] [WARN] all - Peticon a ruta no encontrada -> url: /api/info%20%3E%20result_console_log.txt | method: GET
[2022-12-22T22:39:43.767] [WARN] all - Peticon a ruta no encontrada -> url: /api/info%20%3E%20result_console_log.txt | method: GET
[2022-12-22T22:39:43.770] [WARN] all - Peticon a ruta no encontrada -> url: /api/info%20%3E%20result_console_log.txt | method: GET
[2022-12-22T22:39:43.778] [WARN] all - Peticon a ruta no encontrada -> url: /api/info%20%3E%20result_console_log.txt | method: GET
[2022-12-22T22:39:43.778] [WARN] all - Peticon a ruta no encontrada -> url: /api/info%20%3E%20result_console_log.txt | method: GET
[2022-12-22T22:39:43.780] [WARN] all - Peticon a ruta no encontrada -> url: /api/info%20%3E%20result_console_log.txt | method: GET
[2022-12-22T22:39:43.780] [WARN] all - Peticon a ruta no encontrada -> url: /api/info%20%3E%20result_console_log.txt | method: GET
[2022-12-22T22:39:43.781] [WARN] all - Peticon a ruta no encontrada -> url: /api/info%20%3E%20result_console_log.txt | method: GET
[2022-12-22T22:39:43.782] [WARN] all - Peticon a ruta no encontrada -> url: /api/info%20%3E%20result_console_log.txt | method: GET
[2022-12-22T22:39:43.784] [WARN] all - Peticon a ruta no encontrada -> url: /api/info%20%3E%20result_console_log.txt | method: GET
[2022-12-22T22:39:43.786] [WARN] all - Peticon a ruta no encontrada -> url: /api/info%20%3E%20result_console_log.txt | method: GET
[2022-12-22T22:39:43.786] [WARN] all - Peticon a ruta no encontrada -> url: /api/info%20%3E%20result_console_log.txt | method: GET
[2022-12-22T22:39:43.789] [WARN] all - Peticon a ruta no encontrada -> url: /api/info%20%3E%20result_console_log.txt | method: GET
[2022-12-22T22:39:43.800] [WARN] all - Peticon a ruta no encontrada -> url: /api/info%20%3E%20result_console_log.txt | method: GET
[2022-12-22T22:39:43.801] [WARN] all - Peticon a ruta no encontrada -> url: /api/info%20%3E%20result_console_log.txt | method: GET
[2022-12-22T22:39:43.802] [WARN] all - Peticon a ruta no encontrada -> url: /api/info%20%3E%20result_console_log.txt | method: GET
[2022-12-22T22:39:43.803] [WARN] all - Peticon a ruta no encontrada -> url: /api/info%20%3E%20result_console_log.txt | method: GET
[2022-12-22T22:39:43.804] [WARN] all - Peticon a ruta no encontrada -> url: /api/info%20%3E%20result_console_log.txt | method: GET
[2022-12-22T22:39:43.804] [WARN] all - Peticon a ruta no encontrada -> url: /api/info%20%3E%20result_console_log.txt | method: GET
[2022-12-22T22:39:43.805] [WARN] all - Peticon a ruta no encontrada -> url: /api/info%20%3E%20result_console_log.txt | method: GET
[2022-12-22T22:39:43.808] [WARN] all - Peticon a ruta no encontrada -> url: /api/info%20%3E%20result_console_log.txt | method: GET
[2022-12-22T22:39:43.808] [WARN] all - Peticon a ruta no encontrada -> url: /api/info%20%3E%20result_console_log.txt | method: GET
[2022-12-22T22:39:43.811] [WARN] all - Peticon a ruta no encontrada -> url: /api/info%20%3E%20result_console_log.txt | method: GET
[2022-12-22T22:39:43.822] [WARN] all - Peticon a ruta no encontrada -> url: /api/info%20%3E%20result_console_log.txt | method: GET
[2022-12-22T22:39:43.822] [WARN] all - Peticon a ruta no encontrada -> url: /api/info%20%3E%20result_console_log.txt | method: GET
[2022-12-22T22:39:43.825] [WARN] all - Peticon a ruta no encontrada -> url: /api/info%20%3E%20result_console_log.txt | method: GET
[2022-12-22T22:39:43.826] [WARN] all - Peticon a ruta no encontrada -> url: /api/info%20%3E%20result_console_log.txt | method: GET
[2022-12-22T22:39:43.827] [WARN] all - Peticon a ruta no encontrada -> url: /api/info%20%3E%20result_console_log.txt | method: GET
[2022-12-22T22:39:43.827] [WARN] all - Peticon a ruta no encontrada -> url: /api/info%20%3E%20result_console_log.txt | method: GET
[2022-12-22T22:39:43.828] [WARN] all - Peticon a ruta no encontrada -> url: /api/info%20%3E%20result_console_log.txt | method: GET
[2022-12-22T22:39:43.829] [WARN] all - Peticon a ruta no encontrada -> url: /api/info%20%3E%20result_console_log.txt | method: GET
[2022-12-22T22:39:43.830] [WARN] all - Peticon a ruta no encontrada -> url: /api/info%20%3E%20result_console_log.txt | method: GET
[2022-12-22T22:39:43.832] [WARN] all - Peticon a ruta no encontrada -> url: /api/info%20%3E%20result_console_log.txt | method: GET
[2022-12-22T22:39:43.833] [WARN] all - Peticon a ruta no encontrada -> url: /api/info%20%3E%20result_console_log.txt | method: GET
[2022-12-22T22:39:43.840] [WARN] all - Peticon a ruta no encontrada -> url: /api/info%20%3E%20result_console_log.txt | method: GET
[2022-12-22T22:39:43.841] [WARN] all - Peticon a ruta no encontrada -> url: /api/info%20%3E%20result_console_log.txt | method: GET
